id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude
BCGP0002436,Active,NORTHRIVER HIGHWAY B-036-I/094-B-16 002,GP,Highway,Northriver Midstream Inc.,100.0% - Northriver Midstream Inc.,1997-07-23,56.94573,-122.07022
BCGP0002438,Active,CNRL TOOGA B-031-I/094-P-02 001,GP,Tooga,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1997-04-01,59.19585,-120.50775
BCGP0002766,Active,CNRL RING A-049-B/094-H-16 005,GP,Ring Border Slave Point,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1998-02-01,57.7874,-120.23265
BCGP0002787,Cancelled,NOVAGAS TAYLOR 10-36-082-18 001,GP,Taylor,Novagas Canada Ltd.,100.0% - Novagas Canada Ltd.,,56.15425,-120.67218
BCGP0002889,Suspended,TAQA NORTH CHINCHAGARIVER C-032-H/094-H-08 007,GP,Chinchaga,Taqa North Ltd.,100.0% - Taqa North Ltd.,1998-04-01,57.36244,-120.02026
BCGP0002917,Active,ERIKSON HELMET D-075-A/094-P-11 003,GP,Wildboy,Erikson National Energy Inc.,100.0% - Erikson National Energy Inc.,1998-03-18,59.56249,-121.05783
BCGP0003164,Active,CNRL STODDART 02-34-087-21 001,GP,Stoddart West,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1998-10-30,56.58337,-121.25594
BCGP0003479,Active,SHELL SUNSETPRAIRIE 05-03-081-18 002,GP,Sunset,Shell Canada Limited,100.0% - Shell Canada Limited,1999-03-23,55.9907,-120.73743
BCGP0003548,Suspended,ECOG MAXHAMISHLAKE D-036-I/094-O-14 001,GP,Maxhamish,Eog Canada Oil & Gas Inc.,100.0% - Eog Canada Oil & Gas Inc.,2000-04-22,59.94585,-123.07038
BCGP0003738,Active,SEC SIERRA A-026-K/094-I-11 002,GP,Sierra,Shanghai Energy Corporation,100.0% - Shanghai Energy Corporation,1999-10-07,58.68745,-121.32021
BCGP0004070,Active,CNRL LADYFERN B-017-I/094-H-01 002,GP,Ladyfern,Canadian Natural Resources Limited,,2000-04-19,57.17911,-120.08277
BCGP0004556,Suspended,CNRL RING C-081-I/094-H-09 008,GP,South Ring Border,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,2001-05-01,57.73748,-120.00774
BCGP0004576,Active,CNRL LADYFERN B-047-H/094-H-01 001,GP,Ladyfern,Canadian Natural Resources Limited,,2001-05-17,57.12077,-120.08277
BCGP0004579,Cancelled,PETRONAS CLARKELAKE A-076-G/094-J-10 001,GP,Clarke,Petronas Energy Canada Ltd.,100.0% - Petronas Energy Canada Ltd.,,58.6457,-122.69524
BCGP0007158,Discontinued,TIDEWATER POCKETKNIFE B-032-I/094-G-06 002,GP,Pocketknife,Tidewater Midstream And Infrastructure Ltd.,100.0% - Tidewater Midstream And Infrastructure Ltd.,2001-01-01,57.44572,-123.02024
BCGP0007192,Cancelled,WESTCOAST PATRY D-057-G/093-P-05 001,GP,Patry,Westcoast Energy Inc.,100.0% - Westcoast Energy Inc.,,55.3791,-121.70773
BCGP0007193,Cancelled,WESTCOAST CABIN A-030-A/094-P-05 001,GP,Cabin,Westcoast Energy Inc.,100.0% - Westcoast Energy Inc.,,59.27079,-121.6203
BCGP0007286,Active,SHELL GROUNDBIRCH 04-15-080-19 001,GP,Groundbirch,Shell Canada Limited,100.0% - Shell Canada Limited,2003-10-01,55.92888,-120.89399
BCGP0007309,Active,SEC ELLEH A-019-F/094-I-12 001,GP,,Shanghai Energy Corporation,,2004-06-01,58.59575,-121.8577
BCGP0007346,Suspended,SUKUNKA KWOEN D-057-G/093-P-05 002,GP,Kwoen Sour Gas Upgrader,Sukunka Natural Resources Inc.,100.0% - Sukunka Natural Resources Inc.,2002-09-01,55.3791,-121.70773
BCGP0007354,Cancelled,OBSIDIAN CYPRESS B-075-F/094-B-15 001,GP,Cypress,Obsidian Energy Ltd.,100.0% - Obsidian Energy Ltd.,,56.89573,-122.80774
