id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude
ABGP0001001,Active,MAPLE GLEN 15-36-036-16W4,GP,Maple Glen,Canadian Natural Resources Limited,0.0% - Cansearch Resources Ltd.; 0.0% - Canadian Natural Resources Limited,,52.14108,-112.15671
ABGP0001002,Suspended,KEYERA NEVIS GAS PLANT 16-33-38-22W4,GP,Nevis,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,1956-01-01,52.31571,-113.07948
ABGP0001003,Suspended,* GULF PINCHER CREEK,GP,Pincher Creek,Gulf Canada Limited,100.0% - Palmer Ranch (1984) Ltd.,,49.30742,-113.79413
ABGP0001004,Active,KEYERA HOMEGLEN-RIMBEY 2-05-44-01W5,GP,Rimbey,Keyera Energy Ltd.,0.0% - Centipede Holdings Ltd.; 0.8% - Bellatrix Exploration Ltd.; 0.1% - Altagas Pipeline Partnership; 98.8% - Keyera Energy Ltd.; 0.1% - Mosaic Energy Ltd.; 0.0% - Canadian Natural Resources Limited; 0.0% - Bonavista Energy Corporation; 1.0% - Green Valley Energy Ltd.,1961-01-01,52.75808,-114.10751
ABGP0001005,Suspended,* GULF GILBY,GP,Gilby,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,,52.44144,-114.30466
ABGP0001006,Abandoned,* CHEVRON NEVIS,GP,Nevis,Chevron Canada Limited,100.0% - Chevron Canada Limited,,52.37406,-113.0847
ABGP0001007,Active,MITSUE 16-30-072-04W5,GP,Mitsue,Canadian Natural Resources Limited,90.0% - Canadian Natural Resources Limited; 10.0% - Superman Resources Inc.,1974-01-01,55.27045,-114.59501
ABGP0001008,Suspended,* CHEVRON PRINCESS,GP,Princess,Chevron Canada Limited,100.0% - Chevron Canada Limited,,50.68309,-111.54795
ABGP0001009,Suspended,SEDALIA 9-29-31-5 GP,GP,Sedalia,Baytex Energy Ltd.,100.0% - Baytex Energy Ltd.,1961-01-01,51.68719,-110.66947
ABGP0001010,Suspended,* NORCEN CAMPBELL-NAMAO,GP,Campbell,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,53.68898,-113.56889
ABGP0001011,Abandoned,* SHELL INNISFAIL,GP,Innisfail,Shell Canada Limited,100.0% - Enhance Energy Inc.,,51.97168,-114.05239
ABGP0001012,Active,PANCDN COUNTESS,GP,Makepeace,Torxen Energy Ltd.,100.0% - Torxen Energy Ltd.,,50.91588,-112.44847
ABGP0001013,Active,KEYERA GILBY PLANT 15-22-040-03W5,GP,Gilby,Keyera Energy Ltd.,80.2% - Keyera Energy Ltd.; 1.2% - Harvest Operations Corp.; 5.1% - Pengrowth Energy Corporation; 5.1% - Nal Resources Limited; 5.7% - Omers Energy Inc.; 1.3% - Signalta Resources Limited,,52.46301,-114.34679
ABGP0001014,Active,ATCO CARBON,GP,Carbon,Atco Energy Solutions Ltd.,100.0% - Atco Energy Solutions Ltd.,1967-01-01,51.47964,-113.05534
ABGP0001015,Suspended,WARDLOW 2-31-22-11W4,GP,Wardlow,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1992-01-01,50.90893,-111.5137
ABGP0001016,Suspended,COMETRA WOOD RIVER,GP,Cometra Wood River,Vintage Petroleum Canada; Inc.,100.0% - Vintage Petroleum Canada  Inc.,,52.69611,-113.29673
ABGP0001017,Suspended,CESSFORD 04-15-027-15W4,GP,Cessford,Canadian Natural Resources Limited,50.0% - Canadian Natural Resources Limited; 50.0% - Arc Resources Ltd.,1960-01-01,51.30157,-112.04131
ABGP0001018,Active,TAURUS CONSORT 7-34-34-6W4 GP,GP,Provost,Tamarack Acquisition Corp.,,1959-01-01,51.95995,-110.76973
ABGP0001019,Suspended,* AMOCO BUCK CREEK,GP,Buck Creek,Bp Canada Energy Group Ulc,100.0% - Bp Canada Energy Group Ulc,,49.00158,-110.00785
ABGP0001020,Suspended,DEVON CARSTAIRS,GP,Carstairs,Bonavista Energy Corporation,20.0% - Bonavista Energy Corporation; 36.0% - Direct Energy Marketing Limited; 18.0% - Exxonmobil Canada Energy; 10.0% - Provident Energy Ltd.; 2.0% - Signalta Resources Limited; 8.0% - Bp Canada Energy Company,1960-01-01,51.53479,-114.20383
ABGP0001021,Active,GARRINGTON OLDS,GP,Garrington,Whitecap Resources Inc.,100.0% - Whitecap Resources Inc.,1964-01-01,51.74229,-114.13455
ABGP0001022,Active,CESSFORD 02-08-024-12W4,GP,Cessford,Canadian Natural Resources Limited,47.0% - Imperial Oil Limited; 52.0% - Canadian Natural Resources Limited,1958-01-01,51.02502,-111.64172
ABGP0001023,Abandoned,IMPERIAL LEDUC-WOODBEND,GP,Leduc Woodbend,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,53.35414,-113.71731
ABGP0001024,Active,BOUNDARY LAKE 01-14-085-13W6,GP,Boundary Lake South,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,56.36475,-119.92871
ABGP0001025,Reclamation Certified,DEVON NORMANDVILLE,GP,Normandville,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,55.83788,-117.39082
ABGP0001026,Abandoned,CESSFORD 7-17-26-14W4,GP,Cessford,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,51.21801,-111.92082
ABGP0001027,Suspended,* IMPERIAL GOLDEN SPIKE,GP,Golden Spike,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,53.42286,-113.8948
ABGP0001028,Active,ACCEL ENERGY REDWATER GP,GP,Redwater,Accel Canada Holdings Limited,100.0% - Arc Resources Ltd.,1956-01-01,53.95089,-113.07819
ABGP0001029,Suspended,* SAMSON FERRYBANK,GP,Ferrybank,Obsidian Energy Ltd.,100.0% - Obsidian Energy Ltd.,,52.89245,-113.87048
ABGP0001030,Suspended,* TALISMAN TURNER VALLEY,GP,Turner Valley,Repsol Oil & Gas Canada Inc.,100.0% - Repsol Oil & Gas Canada Inc.,,50.67209,-114.27017
ABGP0001031,Suspended,VALHALLA 8-20-76-9W6,GP,Valhalla,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,55.59771,-119.3482
ABGP0001032,Abandoned,* SHELL WORSLEY,GP,Worsley,Shell Canada Limited,100.0% - Shell Canada Limited,,56.55739,-119.02205
ABGP0001033,Suspended,CRESTAR THREE HILLS CK,GP,Three Hills Creek,Pine Cliff Energy Ltd.,100.0% - Pine Cliff Energy Ltd.,,52.01016,-113.59672
ABGP0001034,Active,SEMCAMS WEST WHITECOURT (WINDFALL),GP,Windfall,Energy Transfer Canada Ulc,72.8% - Energy Transfer Canada Ulc; 0.1% - Bp Canada Energy Company; 10.4% - Sw Resources Ulc; 16.7% - Sinopec Daylight Energy Ltd.,1959-01-01,54.18694,-116.20467
ABGP0001035,Suspended,* ICG ACHESON,GP,Icg Acheson,Cnooc Petroleum North America Ulc,100.0% - Cnooc Petroleum North America Ulc,,53.54311,-113.73491
ABGP0001036,Active,APACHE PROVOST,GP,Consort,Karve Energy Inc.,100.0% - Karve Energy Inc.,,52.10473,-110.69847
ABGP0001037,Active,SHELL JUMPING POUND,GP,Jumping Pound,Pieridae Alberta Production Ltd.,100.0% - Shell Canada Limited,1951-01-01,51.13772,-114.58008
ABGP0001038,Active,APF ENERGY COUNTESS,GP,Countess,Journey Energy Inc.,24.1% - Cenovus Fccl Ltd.; 22.7% - Enermark Inc.; 53.3% - Journey Energy Inc.,1960-01-01,50.73756,-112.085
ABGP0001039,Suspended,VISTA MIDSTREAM ENCHANT GGS,GP,Enchant,Campus Energy Partners Operations Inc.,100.0% - Campus Energy Partners Operations Inc.,1963-01-01,50.12981,-112.22533
ABGP0001040,Reclamation Certified,* CAN OXY OKOTOKS,GP,Can Oxy Okotoks,Cnooc Petroleum North America Ulc,100.0% - Cnooc Petroleum North America Ulc,,50.71951,-113.94883
ABGP0001041,Abandoned,CESSFORD 3-6-24-10W4,GP,Cessford Plant,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,51.01046,-111.39158
ABGP0001042,Active,KARR 10-10-065-02W6,GP,Karr Creek,Canadian Natural Resources Limited,62.0% - Canadian Natural Resources Limited; 10.0% - Devon Canada; 11.5% - Progress Exploration Ltd.; 3.2% - Enerplus Energy Ltd.; 0.5% - Iteration Energy Ltd.; 12.8% - Signalta Resources Limited,1981-01-01,54.6124,-118.21115
ABGP0001043,Active,HUSKY HUSSAR 13-36,GP,Hussar,Torxen Energy Ltd.,25.0% - Husky Oil Operations Limited; 25.0% - Harvard International Resources Ltd.; 50.0% - Torxen Energy Ltd.,1959-01-01,51.0942,-112.81593
ABGP0001044,Active,HUSKY WAYNE-ROSEDALE 12-4,GP,Wayne,Torxen Energy Ltd.,25.0% - Husky Oil Operations Limited; 25.0% - Harvard International Resources Ltd.; 50.0% - Torxen Energy Ltd.,1981-01-01,51.36697,-112.76773
ABGP0001045,Suspended,IMPERIAL BONNIE GLEN,GP,Bonnie Glen Solutions,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,53.04881,-113.9239
ABGP0001046,Suspended,* IMPERIAL PEMBINA,GP,Pembina,Whitecap Resources Inc.,100.0% - Whitecap Resources Inc.,,53.25256,-115.39433
ABGP0001047,Active,KEYERA MINNEHIK-BUCK LAKE 10-05,GP,Minnehik,Keyera Energy Ltd.,79.8% - Keyera Energy Ltd.; 10.0% - Canlin Resources Partnership; 8.1% - Enerplus Resources Corporation; 1.7% - Taqa North; 0.5% - Sabre Energy Ltd.,1961-01-01,52.94033,-114.83234
ABGP0001048,Active,ALTANA BLACK BUTTE,GP,Black Butte,Pine Cliff Energy Ltd.,100.0% - Pine Cliff Energy Ltd.,1962-01-01,49.03026,-111.05495
ABGP0001049,Active,PANCDN WAYNE-ROSEDALE,GP,Wayne Dalum,Torxen Energy Ltd.,100.0% - Torxen Energy Ltd.,,51.30522,-112.65054
ABGP0001050,Suspended,WASCANA CROSSFIELD,GP,Crossfield,Cnooc Petroleum North America Ulc,6.3% - Bonavista Petroleum Ltd.; 0.6% - Coastal Resources Limited; 1.4% - Dewpoint Resources Ltd.; 0.0% - Encana Corporation; 2.1% - Enermark Inc.; 33.0% - Exxonmobil Canada Energy; 1.8% - Imperial Oil Limited; 46.7% - Cnooc Petroleum North America Ulc; 0.0% - Pegasus Oil & Gas Inc.; 8.1% - Enerplus Resources Corporation,1961-01-01,51.19259,-113.94389
ABGP0001051,Active,DEVON SAVANNA CREEK,GP,Coleman,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1961-01-01,49.62787,-114.56868
ABGP0001052,Suspended,HUSKY FARRELL EXP CHAIN 7-23,GP,Farrell Exp Chain,Husky Oil Operations Limited,100.0% - Husky Oil Operations Limited,,51.84357,-112.16354
ABGP0001053,Suspended,MERIT SIBBALD,GP,Merit Sibbald,Nuvista Energy Ltd.,100.0% - Nuvista Energy Ltd.,,51.36338,-110.28327
ABGP0001054,Active,D ENERGY WILDCAT HILLS 6-16-26-5W5,GP,Wildcat Hills,Canlin Resources Partnership,,1962-01-01,51.21797,-114.64407
ABGP0001055,Suspended,TOM BROWN EDSON,GP,Tom Brown Edson,Ovintiv Canada Ulc,100.0% - Long Run Exploration Ltd.,,53.52123,-116.4921
ABGP0001056,Active,SHELL WATERTON,GP,Waterton,Pieridae Alberta Production Ltd.,100.0% - Shell Canada Limited,1962-01-01,49.30728,-113.99976
ABGP0001057,Active,PENN WEST PEMBINA,GP,Lobstick Glauconite,Obsidian Energy Ltd.,87.3% - Obsidian Energy Ltd.; 10.7% - Arc Resources Ltd.; 0.1% - Bonterra Energy Corp.; 0.3% - Canadian Natural Resources Limited; 0.5% - Laramide Oil & Gas Ltd.; 0.5% - Signalta Resources Limited; 0.5% - Owlco Resources Ltd,1980-01-01,53.31794,-114.97985
ABGP0001058,Active,TRILOGY KAYBOB,GP,Kaybob,Paramount Resources Ltd.,90.0% - Paramount Resources Ltd.,1962-01-01,54.5216,-116.80216
ABGP0001059,Suspended,DRUMHELLER  6-33-30-19W4,GP,Drumheller,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,51.61063,-112.6214
ABGP0001060,Active,SOLEX HARMATTAN-ELKTON,GP,Alta Gas Harmattan,Altagas Ltd.,100.0% - Altagas Ltd.,1960-01-01,51.68774,-114.47718
ABGP0001061,Suspended,* GULF GILBY,GP,Gilby,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,,52.53958,-114.29278
ABGP0001062,Active,ACCEL ENERGY CARSON CREEK GP,GP,Carson Creek,Accel Canada Holdings Limited,95.0% - Accel Canada Holdings Limited; 5.0% - Journey Energy Inc.,1960-01-01,54.28503,-115.69813
ABGP0001063,Active,APACHE CANADA PROVOST,GP,Kessler,Battle River Energy Ltd.,98.0% - Battle River Energy Ltd.,,52.33036,-111.12946
ABGP0001064,Suspended,* PETRO-CAN GILBY,GP,Gilby,Canlin Resources Partnership,100.0% - Canlin Resources Partnership,,52.47043,-114.34679
ABGP0001065,Suspended,VISTA MIDSTREAM RETLAW,GP,Retlaw,Campus Energy Partners Operations Inc.,83.5% - Campus Energy Partners Operations Inc.; 16.5% - Enermark Inc.,1963-01-01,50.05708,-112.50397
ABGP0001066,Suspended,* POCO KIRKWALL,GP,Poco Kirkwall,Conocophillips Canada Resources Corp.,100.0% - Conocophillips Canada Resources Corp.,,51.33068,-110.66429
ABGP0001067,Suspended,RENAISSANCE SYLVAN LAKE-21,GP,Sylvan Lake,Husky Oil Operations Limited,100.0% - Husky Oil Operations Limited,,52.27729,-114.21904
ABGP0001068,Active,WESTLOCK 07-15-060-02W5,GP,Westlock West,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,54.18683,-114.21129
ABGP0001069,Active,CFR JC 15-25-64-11W5 GP,GP,Judy Creek Conservation Plant,Conifer Energy Inc.,51.0% - Conifer Energy Inc.; 24.5% - Obsidian Energy Ltd.; 24.5% - Canadian Natural Resources Limited,1960-01-01,54.57231,-115.52295
ABGP0001070,Active,OCELOT SYLVAN LAKE,GP,Sylvan Lake,Btg Energy Corporation,40.0% - Btg Energy Corporation,1965-01-01,52.22988,-114.39736
ABGP0001071,Suspended,RIGEL GILBY,GP,Rigel Gilby,Talisman Energy Inc.,100.0% - I3 Energy Canada Ltd.,,52.51772,-114.29871
ABGP0001072,Active,REAL RESOURCES WEST PROVOST,GP,Provost West,Karve Energy Inc.,100.0% - Karve Energy Inc.,1964-01-01,52.07935,-111.01382
ABGP0001073,Suspended,ALTAQUEST GILBY,GP,Gilby,Cequel Energy Inc.,100.0% - Manitok Energy Inc.,,52.51768,-114.34659
ABGP0001074,Suspended,IMPERIAL BONNIE GLEN,GP,Bonnie Glen Cycle,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,53.04881,-113.91788
ABGP0001075,Active,VERMILION CARROT CREEK,GP,Granada,Vermilion Energy Inc.,52.0% - Vermilion Energy Inc.; 48.0% - Obsidian Energy Ltd.,1972-01-01,53.48488,-115.60766
ABGP0001076,Active,PANCDN WAYNE-ROSEDALE,GP,Redlands High Pressure,Lynx Energy Ulc,100.0% - Lynx Energy Ulc,,51.40332,-112.91469
ABGP0001077,Suspended,* AMOCO GILBY SOUTH,GP,Amoco Gilby South,Bp Canada Energy Group Ulc,100.0% - Bp Canada Energy Group Ulc,,52.47053,-114.31681
ABGP0001078,Suspended,HANDHILLS 10-33-28-15W4,GP,Handhills Coyote,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,51.43971,-112.05319
ABGP0001079,Active,PRIMEWEST CROSSFIELD EAST,GP,Crossfield East,Taqa North Ltd.,55.0% - Taqa North Ltd.,1967-01-01,51.39652,-114.02818
ABGP0001080,Active,CALCRUDE CHERHILL,GP,Cherhill,Journey Energy Inc.,90.0% - Journey Energy Inc.; 10.0% - Ridgmar Canada Inc.,1972-01-01,53.84799,-114.61854
ABGP0001081,Suspended,DEVON WIMBORNE,GP,Wimborne,Vantage Point Resources Inc.,99.8% - Vantage Point Resources Inc.,1964-01-01,51.89821,-113.5687
ABGP0001082,Suspended,IMPERIAL WILLESDEN GREEN,GP,Willesden Green,Entrada Resources Inc.,100.0% - Entrada Resources Inc.,1964-01-01,52.61221,-114.82036
ABGP0001083,Suspended,BONAVISTA HARMATTAN-ELKTON PLANT,GP,Harmattan Elkton South Unit 1,Bonavista Energy Corporation,100.0% - Bonavista Energy Corporation,,51.62229,-114.48303
ABGP0001084,Active,EDSON 04-11-053-18W5 GP,GP,Edson,Repsol Oil & Gas Canada Inc.,0.0% - Chair Resources Inc.; 0.0% - Conocophillips Canada Resources Corp.; 0.0% - Crocotta Energy Inc.; 0.0% - Conocophillips Canada (Brc) Ltd.; 0.0% - Daylight Energy Ltd.; 0.0% - Enerplus Oil & Gas Ltd.; 0.0% - Enermark Inc.; 59.0% - Repsol Oil & Gas Canada Inc.; 22.0% - Keyera Energy Ltd.,1965-01-01,53.55751,-116.55334
ABGP0001085,Active,PENN WEST TOMAHAWK 04-02 GP,GP,Berrymoor,Obsidian Energy Ltd.,2.9% - Signalta Resources Limited; 6.2% - Canetic Resources Inc.; 90.9% - Obsidian Energy Ltd.,,53.28161,-114.77261
ABGP0001086,Active,TAMARACK VETERAN 15-20-034-08W4 GP,GP,Veteran,Tamarack Acquisition Corp.,100.0% - Tamarack Acquisition Corp.,,51.93817,-111.10061
ABGP0001087,Suspended,* CRESTAR OYEN,GP,Crestar Oyen,Conocophillips Canada Energy Partnership,100.0% - Conocophillips Canada Energy Partnership,,51.44334,-110.58213
ABGP0001088,Active,BONTERRA 05-35 SWEET GAS PLANT,GP,Keystone,Bonterra Energy Corp.,100.0% - Bonterra Energy Corp.,1965-01-01,53.18327,-114.48599
ABGP0001089,Active,PADDLE RIVER 13-06-057-8W5 GAS PLANT,GP,Paddle River,Tidewater Midstream And Infrastructure Ltd.,100.0% - Tidewater Midstream And Infrastructure Ltd.,1966-01-01,53.90244,-115.18864
ABGP0001090,Suspended,* MOBIL HARMATTAN-ELKTON,GP,Harmattan-Elkton,Exxonmobil Canada Energy,100.0% - Exxonmobil Canada Ltd.,,51.68773,-114.48301
ABGP0001091,Active,PANCDN WINTERING HILLS,GP,Wintering Hills,Torxen Energy Ltd.,100.0% - Torxen Energy Ltd.,,51.12702,-112.35696
ABGP0001092,Suspended,* STEEN CROSSFIELD,GP,Steen Crossfield,Steen Resources Ltd.,100.0% - Steen Resources Ltd.,,51.58207,-114.3797
ABGP0001093,Active,FERRIER 09-22-39-8W5,GP,Ferrier 1,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,52.37213,-115.06014
ABGP0001094,Suspended,* AMOCO LONE PINE CREEK,GP,Lone Pine Creek,Bp Canada Energy Group Ulc,100.0% - Taqa North Ltd.,,51.58139,-113.84049
ABGP0001095,Active,CDN 88 TWINING,GP,Three Hills Creek,Artis Exploration Ltd.,100.0% - Artis Exploration Ltd.,,51.69442,-113.21466
ABGP0001096,Active,PETRO-CAN WILSON CREEK,GP,Wilson Creek,Tamarack Acquisition Corp.,52.2% - Tamarack Acquisition Corp.; 47.8% - Taqa North Ltd.,1968-01-01,52.72934,-114.53641
ABGP0001097,Active,CONOCO GHOST PINE,GP,Ghost Pine,Pine Cliff Energy Ltd.,100.0% - Pine Cliff Energy Ltd.,1967-01-01,51.63969,-112.86634
ABGP0001098,Suspended,CRESTAR GILBY N,GP,Crestar Gilby N,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,,52.51771,-114.44843
ABGP0001099,Suspended,* ALTANA CAROLINE,GP,Altana Caroline,Altana Exploration Company,100.0% - Altana Exploration Company,,51.96412,-114.73085
ABGP0001100,Suspended,VULCAN 8-24-15-22W4,GP,Vulcan,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,50.27185,-112.8941
ABGP0001101,Abandoned,AMOCO BIGSTONE,GP,Bigstone,Bp Canada Energy Group Ulc,100.0% - Paramount Resources Ltd.,,54.2595,-117.21683
ABGP0001102,Suspended,* AMOCO CROSSFIELD,GP,Crossfield,Bp Canada Energy Group Ulc,100.0% - Taqa North Ltd.,,51.39652,-114.02818
ABGP0001103,Active,ENCAL SYLVAN LK,GP,Sylvan Lake,Harvest Operations Corp.,100.0% - Harvest Operations Corp.,1980-01-01,52.25535,-114.2963
ABGP0001104,Suspended,AMOCO SOUTH CAROLINE,GP,Caroline South,Bp Canada Energy Group Ulc,100.0% - Bonavista Energy Corporation,,51.92784,-114.53595
ABGP0001105,Active,HUSKY RAINBOW 10-10,GP,Rainbow,Husky Oil Operations Limited,100.0% - Husky Oil Operations Limited,1967-01-01,58.45072,-119.23832
ABGP0001106,Active,HUSKY ELNORA 5-19,GP,Mikwan,2234873 Alberta Ltd.,25.0% - Encana Corporation; 75.0% - 2234873 Alberta Ltd.,1978-01-01,52.01729,-113.14451
ABGP0001107,Active,SEMCAMS KAYBOB AMALGAMATED,GP,Kaybob South 1 Cycling,Energy Transfer Canada Ulc,56.6% - Energy Transfer Canada Ulc; 22.8% - Husky Oil Operations Limited; 1.5% - Talisman Energy Inc.; 2.0% - Devon Canada Corporation; 1.6% - Taqa North Ltd.; 0.6% - Conocophillips Canada (Brc) Ltd.; 0.1% - Paramount Resources (Acl) Ltd.; 5.5% - Cequence Energy Ltd.; 4.0% - Xto Energy Canada; 5.2% - Long Run Exploration Ltd.,1967-01-01,54.34316,-116.85462
ABGP0001108,Active,KEYERA BRAZEAU EAST 6-12-046-14W5,GP,Brazeau River,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,1968-01-01,52.95069,-115.90241
ABGP0001109,Abandoned,VINTAGE WEST DRUMHELLER,GP,Drumheller West,Obsidian Energy Ltd.,100.0% - Sanling Energy Ltd.,,51.54144,-112.83806
ABGP0001110,Active,FERRIER 01-20-039-07W5,GP,Ferrier 2,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,52.3649,-114.96431
ABGP0001111,Suspended,NORTHROCK JUDY CREEK,GP,Judy Creek,Point Loma Resources Ltd.,100.0% - Point Loma Resources Ltd.,,54.55408,-115.66133
ABGP0001112,Suspended,STURGEON LAKE S 2-2-69-22W5,GP,Sturgeon Lake South,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1969-01-01,54.93963,-117.23958
ABGP0001113,Active,KEYERA SIMONETTE GAS PLANT 09-06,GP,Simonette,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,1969-01-01,54.42332,-117.76062
ABGP0001114,Active,CAMPUS BANTRY,GP,Bantry,Campus Energy Partners Operations Inc.,100.0% - Campus Energy Partners Operations Inc.,,50.47198,-111.60535
ABGP0001115,Active,PETRO-CAN WHITECOURT,GP,Whitecourt,Taqa North Ltd.,45.8% - Taqa North Ltd.; 45.3% - Chinook Energy Inc.; 4.2% - Harvest Operations Corp.; 4.7% - Obsidian Energy Ltd.,1968-01-01,54.13233,-115.54818
ABGP0001116,Active,APACHE PROVOST,GP,Brownfield,Karve Energy Inc.,96.1% - Karve Energy Inc.,1969-01-01,52.3196,-111.47757
ABGP0001117,Active,DEVON MARTEN HILLS,GP,Marten Hills Plant 1,Sequoia Resources Corp.,100.0% - Sequoia Resources Corp.,1969-01-01,55.42993,-113.61225
ABGP0001118,Active,AMOCO EAST GARRINGTON,GP,Garrington East,Bonavista Energy Corporation,100.0% - Bonavista Energy Corporation,1975-01-01,51.92067,-114.39439
ABGP0001119,Active,WILLOW 02-05-028-17W4,GP,Drumheller East,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1974-01-01,51.35983,-112.35782
ABGP0001120,Suspended,* AMOCO KAYBOB S #2,GP,Kaybob South 1 Cycling,Bp Canada Energy Group Ulc,100.0% - Energy Transfer Canada Ulc,,54.34316,-116.85462
ABGP0001121,Active,KEYERA NORDEGG RIVER 6-10-044-12W5,GP,Nordegg River,Keyera Energy Ltd.,89.3% - Keyera Energy Ltd.,1969-01-01,52.77611,-115.66063
ABGP0001122,Active,PETRO-CAN FERRIER,GP,Ferrier,Canlin Resources Partnership,,1970-01-01,52.49599,-114.98817
ABGP0001123,Active,CHEVRON MITSUE,GP,Mitsue,Cardinal Energy Ltd.,13.0% - Canadian Natural Resources Limited; 85.0% - Cardinal Energy Ltd.,1969-01-01,55.26683,-114.60134
ABGP0001124,Abandoned,BITTERN LK 5-31-45-20W4,GP,Bittern Lake,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,52.92156,-112.90355
ABGP0001125,Active,WASKAHIGAN 15-7-064-23W5,GP,Waskahigan,Canadian Natural Resources Limited,94.2% - Canadian Natural Resources Limited,,54.5287,-117.46433
ABGP0001126,Abandoned,* JORDAN PROVOST,GP,Jordan Provost,Enerplus Corporation,100.0% - Taqa North Ltd.,,52.30141,-112.07934
ABGP0001127,Active,GREENCOURT 09-26-059-09W5,GP,Greencourt,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1969-01-01,54.13232,-115.22978
ABGP0001128,Suspended,* GULF SWALLWELL,GP,Swallwell,Gulf Canada Limited,100.0% - Gulf Canada Limited,,51.52337,-113.32475
ABGP0001129,Active,GOLD CREEK 13-26-067-05W6,GP,Gold Creek,Canadian Natural Resources Limited,17.0% - Progress Energy Ltd.; 0.8% - Chinook Energy Ltd.; 82.2% - Canadian Natural Resources Limited,1969-01-01,54.83426,-118.658
ABGP0001130,Active,PETRO-CAN GILBY,GP,Gilby,Canlin Resources Partnership,,1970-01-01,52.46681,-114.3468
ABGP0001131,Suspended,SHELL BURNT TIMBER,GP,Burnt Timber,Shell Canada Energy,100.0% - Shell Canada Limited,1972-01-01,51.57117,-114.85391
ABGP0001132,Active,MARTEN HILLS 12-18-076-25W4,GP,Marten Hills,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,55.58633,-113.87111
ABGP0001133,Active,KEYERA STRACHAN 11-35-037-09W5,GP,Strachan,Keyera Energy Ltd.,100.0% - Keyera Energy Ltd.,1970-01-01,52.22609,-115.18293
ABGP0001134,Active,CALEDONIAN MIDSTREAM QUIRK CREEK,GP,Quirk Creek,Caledonian Midstream Corporation,98.3% - Caledonian Midstream Corporation; 1.7% - Shell Oil Company,1970-01-01,50.74852,-114.49498
ABGP0001135,Suspended,APACHE VIRGINIA HILL,GP,Hope Creek,Paramount Resources Ltd.,100.0% - Paramount Resources Ltd.,1970-01-01,54.53969,-115.9262
ABGP0001136,Suspended,APACHE PROVOST,GP,Hamilton Lake,Karve Energy Inc.,100.0% - Karve Energy Inc.,1970-01-01,51.9811,-111.17471
ABGP0001137,Abandoned,JOFFRE 11-31-39-26W4,GP,Joffre,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,52.39913,-113.7383
ABGP0001138,Active,PENN WEST BIGORAY,GP,Bigoray,Obsidian Energy Ltd.,100.0% - Obsidian Energy Ltd.,1977-01-01,53.43065,-115.12218
ABGP0001139,Abandoned,MOBIL LONE PINE CREEK,GP,Lone Pine Creek,Exxonmobil Canada Energy,100.0% - Exxonmobil Canada Ltd.,1971-01-01,51.50876,-113.86968
ABGP0001140,Active,BAYTEX FERRYBANK PLANT,GP,Ferrybank,Baytex Energy Ltd.,100.0% - Baytex Energy Ltd.,,52.75422,-113.86452
ABGP0001141,Active,RAM RIVER 04-02-037-10W5,GP,Ram River,Tidewater Midstream And Infrastructure Ltd.,85.0% - Tidewater Midstream And Infrastructure Ltd.; 2.1% - Enerplus Resources Corporation; 3.0% - C Group Energy Inc.; 9.8% - Paramount Resources (Acl) Ltd.,1972-01-01,52.14626,-115.33134
ABGP0001143,Active,PSEC LEAFLAND 13-16 GP,GP,Leafland,Prairie Storm Energy Corp.,75.9% - Prairie Storm Energy Corp.,1971-01-01,52.44863,-114.67028
