id,status,name,type,plant_name,current_operator,original_operator,co-owner,constructed_date,activated_date,field_name,latitude,longitude,location
ABGP0089018,Active,Peyto Wildhay 04-21-55-23 W5 Gp,GP,Wildhay,Peyto Exploration & Development Corp.,,100.0% - Peyto Exploration & Development Corp.,2006-01-01,,,53.76109,-117.36744,04-21-055-23W5M
ABGP0089265,Active,Vermilion Pembina 16-26-047-08W5,GP,Violet Grove,Arc Resources Ltd.,,100.0% - Arc Resources Ltd.,2006-01-01,,,53.08875,-115.05317,16-26-047-08W5M
ABGP0089314,Suspended,Crooked Creek 2-30-71-26W5,GP,Crooked Creek,Canadian Natural Resources Limited,,28.0% - Paramount Resources Ltd.; 72.0% - Canadian Natural Resources Limited,2005-01-01,,,55.17252,-117.98554,02-30-071-26W5M
ABGP0089350,Active,Trilogy Deep Valley 01-15-063-25W5,GP,Deep Valley,Paramount Resources Ltd.,,75.0% - Paramount Resources Ltd.; 25.0% - Cequence Energy Ltd.,2006-01-01,,,54.44527,-117.685,01-15-063-25W5M
ABGP0089584,Active,Sandhills Gas Plant,GP,Sandhills,N7 Energy Ltd.,,100.0% - N7 Energy Ltd.,2006-01-01,,,54.39034,-114.76114,07-25-062-06W5M
ABGP0089756,Active,Apache Ngl Lonepine West 2-29-31-28W,GP,Ngl Lonepine West,Ember Resources Inc.,,100.0% - Ember Resources Inc.,2006-01-01,,,51.68027,-113.93499,02-29-031-28W4M
ABGP0089914,Active,981405 Wedge Gas Plant,GP,Wedge Gas Plant,Tallahassee Exploration Inc.,,100.0% - Tallahassee Exploration Inc.,2006-01-01,,,54.34654,-114.89833,05-07-062-06W5M
ABGP0089955,Active,981405 Thunder Gas Plant 9-6-61-5W5,GP,Thunder,N7 Energy Ltd.,,100.0% - N7 Energy Ltd.,2006-01-01,,,54.24852,-114.73002,09-06-061-05W5M
ABGP0090067,Active,Suffield-13-10-016-09 W4M,GP,Suff Refridge,Harvest Operations Corp.,,100.0% - Harvest Operations Corp.,,,,50.33719,-111.17008,13-10-016-09W4M
ABGP0090090,Suspended,Husky Lubicon 7-1 Gas Plant,GP,Lubicon,Surge Energy Inc.,,100.0% - Surge Energy Inc.,1984-01-01,,,56.51381,-115.607,07-01-087-11W5M
ABGP0090092,Active,Clear Hills Gas Plant,GP,Clear Hills,Altagas Ltd.,,100.0% - Altagas Ltd.,2006-01-01,,,56.62268,-119.91295,13-07-088-12W6M
ABGP0090355,New,Woking 16-9-75-4W6,GP,Woking,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,55.48864,-118.54674,16-09-075-04W6M
ABGP0090715,Active,Puskwa 03-03-072-26W5,GP,Puskwa,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,2006-01-01,,,55.20179,-117.9149,03-03-072-26W5M
ABGP0090799,Active,Eaglesham Gp 01-25-76-01W6,GP,Eaglesham,Long Run Exploration Ltd.,,100.0% - Long Run Exploration Ltd.,2006-01-01,,,55.60879,-118.00369,01-25-076-01W6M
ABGP0090807,Suspended,Prairie River Gas Plant,GP,Prairie River,Altagas Ltd.,,100.0% - Altagas Ltd.,,,,55.24914,-116.6328,06-24-072-18W5M
ABGP0090927,Active,Win Cowley 13-34-8-2W5 Plant,GP,Cowley,Tamarack Acquisition Corp.,,100.0% - Tamarack Acquisition Corp.,2006-01-01,,,49.69688,-114.20135,13-34-008-02W5M
ABGP0091427,Active,Peyto Nosehill 11-21-55-20 W5 Gas Pl,GP,Nosehill,Peyto Exploration & Development Corp.,,100.0% - Peyto Exploration & Development Corp.,2006-01-01,,,53.76827,-116.91545,11-21-055-20W5M
ABGP0091983,Active,Bnp Whitecourt Gas Plant 16-30,GP,Bnp Whitecourt,Outlier Resources Ltd.,,100.0% - Outlier Resources Ltd.,2006-01-01,,,54.22327,-115.92961,16-30-060-13W5M
ABGP0092557,Suspended,Corbett 10-03-61-07W5M Gas Plant,GP,Corbett,Velvet Energy Ltd.,,100.0% - Velvet Energy Ltd.,2005-01-01,,,54.24852,-114.96101,10-03-061-07W5M
ABGP0092867,Suspended,Eog Halkirk 16-28-38-15W4 Gas Plant,GP,Halkirk,Karve Energy Inc.,,100.0% - Karve Energy Inc.,2004-01-01,,,52.30141,-112.07934,16-28-038-15W4M
ABGP0093212,Suspended,Imp West Pembina Acid Gas Inj,GP,Imp West Pembina Acid Gas Inj,Keyera Energy Ltd.,,100.0% - Keyera Energy Ltd.,,,,53.25607,-115.55272,06-28-049-11W5M
ABGP0093223,Active,Ferintosh 9-16-43-21W4,GP,Ferintosh,Shackleton Exploration Ltd.,,50.0% - Shackleton Exploration Ltd.; 50.0% - Taqa North Ltd.,2006-01-01,,,52.70698,-112.98224,09-16-043-21W4M
ABGP0093277,Active,Willesden Green Gas Plant,GP,Faraway,Obsidian Energy Ltd.,,90.0% - Obsidian Energy Ltd.; 10.0% - Taqa North Ltd.,2007-01-01,,,52.59412,-114.88004,14-01-042-07W5M
ABGP0093647,Suspended,Gibraltar Cutpick 2-21-60-8W6 Gp,GP,Cutpick,Gibraltar Exploration Ltd.,,100.0% - Crescent Point Energy Corp.,2007-01-01,,,54.19768,-119.13417,02-21-060-08W6M
ABGP0094071,Suspended,Jupiter Gas Plant 4-36-58-24W5,GP,Berland West,Repsol Oil & Gas Canada Inc.,,100.0% - Repsol Oil & Gas Canada Inc.,2007-01-01,,,54.05202,-117.44182,04-36-058-24W5M
