id,licensed_capacity_of_raw_gas_mcf/d,licensed_capacity_of_sales_gas_mcf/d,licensed_capacity_of_ethane_c2_bbl/d,licensed_capacity_of_ethane_plus_c2+_bbl/d,licensed_capacity_of_propane_c3_bbl/d,licensed_capacity_of_butane_c4_bbl/d,licensed_capacity_of_pentane_plus_c5+_bbl/d,licensed_capacity_of_ngl_bbl/d,licensed_capacity_of_lpg_bbl/d,licensed_capacity_of_sulphur_ton/d,design_capacity_of_raw_gas_mcf/d,design_capacity_of_sales_gas_mcf/d,design_capacity_of_oil_bbl/d,design_capacity_of_ethane_c2_bbl/d,design_capacity_of_propane_c3_bbl/d,design_capacity_of_butane_c4_bbl/d,design_capacity_of_pentane_plus_c5+_bbl/d,design_capacity_of_ngl_bbl/d,design_capacity_of_sulphur_ton/d
ABGP0001198,13243.0,,,,,,,,,,,,,,,,,,
ABGP0001199,,,,,,,,,,,,,,,,,,,
ABGP0001200,21188.8,,,,,,,,,,,,,,,,,,
ABGP0001201,28251.73,26839.14,0.0,0.0,0.0,0.0,1573.22,,1573.22,,21188.8,20129.36,314.64,0.0,1258.57,0.0,1573.22,377.57,0.0
ABGP0001202,3443.18,3228.11,0.0,0.0,0.0,0.0,0.63,,0.0,,6921.67,,314.64,,,,,125.86,
ABGP0001203,4237.76,3884.61,0.0,0.0,0.0,0.0,0.0,,31.46,,4999.85,0.0,0.0,0.0,0.0,0.0,0.0,429.99,0.0
ABGP0001204,3849.3,,,,,,,,,,,,,,,,,,
ABGP0001205,,,,,,,,,,,,,,,,,,,
ABGP0001206,36797.88,30865.01,0.0,0.0,0.0,0.0,283.18,,0.0,120.7,,,,,,,,,
ABGP0001207,2083.57,,,,,,,,,,,,,,,,,,
ABGP0001209,,,,,,,,,,,,,,,,,,,
ABGP0001210,988.81,,,,,,,,,,2118.88,2118.88,0.0,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001211,5999.96,5992.9,,,,,18.88,,,,0.0,5014.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001212,,,,,,,,,,,,,,,,,,,
ABGP0001213,9962.27,9951.67,0.0,0.0,0.0,0.0,37.76,,0.0,,8828.67,7062.93,,,,,,31.46,
ABGP0001214,5201.85,,,,,,,,,,4979.37,4767.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001215,14214.15,13850.41,0.0,0.0,0.0,0.0,8.18,,0.0,,11830.41,10594.4,0.0,0.0,0.0,0.0,0.0,251.71,0.0
ABGP0001216,9958.73,,,,,,,,,,,,,,,,,,
ABGP0001217,12006.99,,,,,,,,,,15891.6,14125.86,125.86,0.0,0.0,0.0,0.0,314.64,0.0
ABGP0001218,14938.1,14880.89,0.0,0.0,0.0,0.0,0.0,,47.2,,8828.67,8828.67,0.0,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001219,37080.4,31327.64,0.0,0.0,0.0,0.0,981.69,,554.4,81.35,141258.65,115832.09,0.0,0.0,50.34,0.0,157.32,0.0,0.0
ABGP0001220,31218.16,,,,,,,,,,31182.85,27015.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001221,19899.81,,,,,,,,,,10594.4,9888.11,0.0,0.0,0.0,0.0,0.0,31.46,0.0
ABGP0001222,109828.6,109510.77,0.0,0.0,0.0,0.0,0.0,,2602.73,0.0,114772.65,113006.92,0.0,0.0,0.0,0.0,0.0,1258.57,0.0
ABGP0001223,1500.17,1399.87,0.0,0.0,0.0,0.0,0.0,,0.63,,1500.17,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0
ABGP0001224,7062.93,6886.36,0.0,0.0,0.0,0.0,0.0,,75.51,,4999.85,4999.85,,,,,,,
ABGP0001225,8122.37,7981.11,0.0,0.0,0.0,0.0,0.0,,314.64,,8122.37,7062.93,251.71,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001226,9464.33,9252.44,0.0,0.0,0.0,0.0,0.0,,17.62,,8994.64,7995.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001227,8510.83,7981.11,0.0,0.0,0.0,0.0,32.09,,93.13,,4237.76,4237.76,0.0,0.0,94.39,0.0,0.0,0.0,0.0
ABGP0001228,2118.88,1977.62,0.0,0.0,0.0,0.0,0.0,,18.88,,2998.21,2498.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001229,15997.54,15538.45,,,,,,,,,,,,,,,,,
ABGP0001230,6851.04,6427.27,0.0,0.0,0.0,0.0,6.29,,0.0,0.0,8475.52,8122.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001231,19882.15,,,,,,,,,,15891.6,14479.01,629.29,0.0,0.0,0.0,0.0,629.29,0.0
ABGP0001232,12360.13,12006.99,,,,,6.29,,,,5297.2,4944.05,0.0,35.49,0.76,0.76,0.76,0.0,0.0
ABGP0001233,9958.73,,,,,,,,,,7999.83,0.0,629.29,0.0,0.0,0.0,0.0,440.5,0.0
ABGP0001234,6956.99,,,,,,,,,,,,,,,,,,
ABGP0001235,12360.13,5904.61,143478.69,0.0,0.0,0.0,0.0,,17.62,,,,,,,,,,
ABGP0001236,3531.47,,,,,,,,,,,,,,,,,,
ABGP0001237,7133.56,,,,,,,,,,3884.61,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001238,,,,,,,,,,,,,,,,,,,
ABGP0001239,5297.2,4944.05,,,,,34.61,,,,8122.37,7769.23,0.0,0.0,0.0,0.0,0.0,10.01,0.0
ABGP0001240,15997.54,14574.36,0.0,0.0,0.0,0.0,0.63,,99.43,,,,,,,,,,
ABGP0001241,,,,,,,,,,,,,,,,,,,
ABGP0001242,4767.48,4484.96,,,,,,,232.84,,5968.18,5615.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001243,19882.15,19211.18,,,,,,,,,12360.13,11124.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001244,9994.05,2648.6,,,,,,,92.51,,7062.93,5297.2,0.0,0.0,0.0,0.0,0.0,50.34,0.0
ABGP0001245,5297.2,5120.63,,,,,,,18.88,,,,,,,,,,
ABGP0001246,1059.44,,,,,,,,,,2507.34,2401.4,0.0,0.0,0.0,0.0,25.17,0.0,0.0
ABGP0001247,1483.22,,,,,,,,,,,,,,,,,,
ABGP0001248,4974.78,,,,,,,,,,4590.91,4590.91,0.0,0.0,0.0,0.0,0.0,6.29,0.0
ABGP0001249,31324.11,29558.37,,,,,244.16,,1548.05,,31324.11,29558.37,0.0,0.0,1548.05,0.0,239.13,0.0,0.0
ABGP0001250,,,,,,,,,,,,,,,,,,,
ABGP0001251,6356.64,,,,,,,,,,,,,,,,,,
ABGP0001252,4944.05,,,,,,,,,,1999.87,1999.87,0.0,0.0,0.0,0.0,0.0,1.57,0.0
ABGP0001253,,,,,,,,,,,,,,,,,,,
ABGP0001254,94420.81,90677.46,0.0,0.0,0.0,0.0,1843.81,,2035.11,,98881.05,98881.05,0.0,0.0,0.0,0.0,0.0,1887.86,0.0
ABGP0001256,36727.25,,,,,,,,,,21188.8,21188.8,0.0,0.0,0.0,0.0,0.0,157.32,0.0
ABGP0001257,70.63,,,,,,,,,,,,,,,,,,
ABGP0001259,3000.33,,,,,,,,,,,,,,,,,,
ABGP0001260,7627.97,7239.51,,,,,6.29,,,,7627.97,7062.93,0.0,0.0,0.0,0.0,0.0,6.29,0.0
ABGP0001261,3990.56,,,,,,,,,,1059.44,1059.44,,,,,,,
ABGP0001262,,,,,,,,,,,,,,,,,,,
ABGP0001263,7062.93,,,,,,,,,,4944.05,4944.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001264,,,,,,,,,,,,,,,,,,,
ABGP0001265,3496.15,,,,,,,,,,,,,,,,,,
ABGP0001266,1977.62,,,,,,,,,,,,,,,,,,
ABGP0001267,45909.06,,,,,,,,,,61800.66,61800.66,2045.18,0.0,0.0,0.0,0.0,1573.22,0.0
ABGP0001268,90052.39,74796.46,0.0,0.0,0.0,0.0,1459.95,,943.93,,90052.39,74796.46,478.26,0.0,0.0,0.0,1459.95,943.93,0.0
ABGP0001269,19988.1,19246.49,,,,,,,314.64,,10241.25,10241.25,0.0,0.0,0.0,0.0,0.0,12.59,0.0
ABGP0001270,40011.51,,,,,,,,,,14125.86,12360.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001271,3178.32,,,,,,,,,,,,,,,,,,
ABGP0001272,4944.05,4696.85,0.0,0.0,0.0,0.0,28.32,,0.0,,9888.11,9888.11,0.0,0.0,0.0,0.0,0.0,18.88,0.0
ABGP0001273,6956.99,6603.84,0.0,0.0,0.0,0.0,3.15,,0.0,,6956.99,6956.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001274,2472.03,,,,,,,,,,,,,,,,,,
ABGP0001275,,,,,,,,,,,,,,,,,,,
ABGP0001276,17869.22,16739.15,,,,,,,,,14125.86,14125.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001277,5297.2,5085.31,0.0,0.0,0.0,0.0,0.0,,125.86,,5297.2,5297.2,0.0,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001278,1589.16,,,,,,,,,,5297.2,5297.2,0.0,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001279,8002.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001280,6356.64,3001.75,0.0,0.0,0.0,0.0,0.0,,163.61,0.0,3001.75,2118.88,12585.74,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001281,9958.73,9323.07,0.0,0.0,0.0,0.0,31.46,,0.0,,4590.91,4590.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001282,6921.67,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001283,0.0,,,,,,,,,,,,,,,,,,
ABGP0001284,7981.11,7239.51,,,,,,,17.62,,,,,,,,,,
ABGP0001285,52971.99,52795.42,0.0,0.0,0.0,0.0,62.93,,251.71,,24999.96,4237.76,0.0,0.0,0.0,0.0,0.0,157.32,0.0
ABGP0001286,1818.71,,,,,,,,,,,,,,,,,,
ABGP0001287,1412.59,,,,,,,,,,,,,,,,,,
ABGP0001288,,,,,,,,,,,,,,,,,,,
ABGP0001289,1483.22,1271.33,1.26,,18.88,18.88,9.44,,48.46,0.0,,,,,,,,,
ABGP0001290,22001.03,,,,,,,,,,7945.8,1765.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001291,,,,,,,,,,,,,,,,,,,
ABGP0001292,298479.53,,,,,,,,,,423775.95,423775.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001293,5720.98,,,,,,,,,,34855.57,34855.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001294,,,,,,,,,,,,,,,,,,,
ABGP0001295,5297.2,,,,,,,,,,7062.93,7062.93,0.0,0.0,0.0,0.0,0.0,3.15,0.0
ABGP0001296,55090.87,51912.55,,,,,694.73,,1352.97,36.99,54737.73,54737.73,0.0,0.0,0.0,0.0,0.0,0.0,35.27
ABGP0001297,9958.73,,,,,,,,,,,,,,,,,,
ABGP0001298,12183.56,12183.56,0.0,0.0,0.0,0.0,0.0,,31.46,,8828.67,8475.52,0.0,0.0,0.0,0.0,0.0,314.64,0.0
ABGP0001299,3068.84,,,,,,,,,,2295.45,0.0,629.29,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001300,0.0,,,,,,,,,,,,,,,,,,
ABGP0001301,882.87,,,,,,,,,,882.87,882.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001303,1094.75,1077.45,0.0,0.0,0.0,0.0,1.89,,0.0,,,,,,,,,,
ABGP0001304,2472.03,2472.03,0.0,0.0,0.0,0.0,0.0,,6.29,,,,,,,,,,
ABGP0001305,8687.41,8298.95,,,,,,,,,8687.41,8687.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001306,12006.99,11283.03,,,,,,,,,0.0,7062.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001307,6780.42,,,,,,,,,,,,,,,,,,
ABGP0001308,12006.99,,,,,,,,,,6356.64,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001309,7451.39,6956.99,0.0,0.0,0.0,0.0,94.39,,0.0,,7486.71,6956.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001310,2825.17,,,,,,,,,,,,,,,,,,
ABGP0001311,30003.34,,,,,,,,,,5754.17,5443.76,,,,,,31.46,
ABGP0001312,21365.37,,,,,,,,,,21365.37,19246.49,75.51,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001313,3990.56,,,,,,,,,,,,,,,,,,
ABGP0001314,3001.75,,,,,,,,,,,,,,,,,,
ABGP0001315,12077.61,,,,,,,,,,12077.61,11583.21,0.0,0.0,0.0,0.0,0.0,220.25,0.0
ABGP0001316,18010.48,17586.7,0.0,0.0,0.0,0.0,254.23,,0.0,,18010.48,10594.4,818.07,0.0,0.0,0.0,0.0,200.11,0.0
ABGP0001317,6003.49,5968.18,0.0,0.0,0.0,0.0,0.0,,56.01,,6709.79,6003.49,0.0,1006.86,188.79,31.46,31.46,12.59,0.0
ABGP0001318,,,,,,,,,,,,,,,,,,,
ABGP0001319,15008.73,13702.09,0.0,0.0,0.0,0.0,16.36,,0.0,,1236.01,1059.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001320,10594.4,,,,,,,,,,11477.27,11477.27,0.0,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001321,5473.77,,,,,,,,,,,,,,,,,,
ABGP0001322,69958.35,,,,,,,,,,60034.93,5297.2,0.0,0.0,0.0,0.0,471.97,0.0,0.0
ABGP0001323,3178.32,,,,,,,,,,,,,,,,,,
ABGP0001324,19423.06,,,,,,,,,,,,,,,,,,
ABGP0001325,,,,,,,,,,,,,,,,,,,
ABGP0001326,15715.02,,,,,,,,,,15008.73,15008.73,0.0,0.0,0.0,0.0,0.0,629.29,0.0
ABGP0001327,3354.89,3178.32,0.0,0.0,0.0,0.0,0.0,,94.39,,5650.35,4944.05,0.0,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001328,9994.05,9393.7,0.0,0.0,0.0,0.0,50.34,,302.06,0.0,,,,,,,,,
ABGP0001329,7062.93,,,,,,,,,,7062.93,7062.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001330,4202.44,,,,,,,,,,11653.84,11300.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001331,12006.99,10064.68,0.0,0.0,0.0,0.0,755.14,,0.0,,8475.52,8475.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001332,4237.76,,,,,,,,,,4237.76,4237.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001333,,,,,,,,,,,,,,,,,,,
ABGP0001334,6487.3,6381.36,0.0,0.0,0.0,0.0,29.58,,0.0,,4000.09,3799.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001335,7945.8,7522.02,0.0,,0.0,0.0,262.41,,,,6003.49,6003.49,0.0,0.0,0.0,0.0,0.0,31.46,0.0
ABGP0001336,3001.75,,,,,,,,,,,,,,,,,,
ABGP0001337,,,,,,,,,,,,,,,,,,,
ABGP0001338,7168.88,,,,,,,,,,7769.23,0.0,0.0,0.0,0.0,0.0,0.0,314.64,0.0
ABGP0001339,7945.8,,,,,,,,,,5297.2,5297.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001340,36727.25,35844.38,0.0,0.0,0.0,0.0,1263.61,,0.0,,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001341,0.0,,,,,,,,,,,,,,,,,,
ABGP0001343,69640.51,69040.17,0.0,0.0,0.0,0.0,629.29,,0.0,,69958.35,35314.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001344,19988.1,19889.22,0.0,0.0,0.0,0.0,11.96,,0.0,,14832.16,14832.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001345,9958.73,,,,,,,,,,14125.86,12360.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001346,12360.13,12289.5,,,,,62.93,,,,10.59,8.83,3775.72,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001347,494.41,,,,,,,,,,,,,,,,,,
ABGP0001348,1059.44,,,,,,,,,,,,,,,,,,
ABGP0001350,725257.22,681714.24,0.0,15734.06,0.0,0.0,770.25,,0.0,,450014.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001351,119398.87,118869.15,0.0,0.0,0.0,0.0,446.79,,0.0,,430838.88,353146.62,0.0,15732.17,4719.65,0.0,314.64,0.0,0.0
ABGP0001352,3178.32,,,,,,,,,,3531.47,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001353,21718.52,12889.85,0.0,0.0,157.32,157.32,125.86,,0.0,,,,,,,,,,
ABGP0001354,1977.62,,,,,,,,,,1645.66,1539.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001355,7945.8,7663.28,0.0,0.0,0.0,0.0,151.66,,0.0,,6956.99,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001356,,,,,,,,,,,,,,,,,,,
ABGP0001357,84755.19,76138.41,0.0,5009.12,0.0,0.0,0.0,,0.0,,84755.19,76138.41,12585.74,0.0,0.0,0.0,0.0,2517.15,0.0
ABGP0001358,,,,,,,,,,,,,,,,,,,
ABGP0001359,741.61,,,,,,,,,,,,,,,,,,
ABGP0001360,424076.12,355724.6,0.0,0.0,0.0,0.0,1483.86,,614.18,1378.99,380056.4,223894.96,0.0,0.0,0.0,0.0,0.0,201.37,
ABGP0001361,6003.49,5826.92,0.0,0.0,0.0,0.0,33.98,,0.0,,5999.96,2999.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001362,,,,,,,,,,,,,,,,,,,
ABGP0001363,105.94,,,,,,,,,,,,,,,,,,
ABGP0001364,25426.56,25249.98,0.0,0.0,0.0,0.0,201.37,,169.91,,25426.56,25249.98,0.0,0.0,0.0,0.0,201.37,0.0,0.0
ABGP0001365,33001.55,30801.45,0.0,0.0,0.0,0.0,41.53,,0.0,,1059.44,1059.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001366,,,,,,,,,,,,,,,,,,,
ABGP0001367,,,,,,,,,,,,,,,,,,,
ABGP0001368,3955.24,,,,,,,,,,3884.61,3531.47,629.29,0.0,94.39,94.39,94.39,125.86,0.0
ABGP0001369,7098.25,,,,,,,,,,,,,,,,,,
ABGP0001370,49440.53,45979.69,0.0,0.0,0.0,0.0,622.99,,0.0,,63566.39,35314.66,6292.87,0.0,0.0,0.0,0.0,1258.57,0.0
ABGP0001371,,,,,,,,,,,,,,,,,,,
ABGP0001372,184695.68,155384.51,2831.79,0.0,0.0,0.0,11364.92,,5506.26,542.34,,,,,,,,,
ABGP0001373,1100.05,,,,,,,,,,,,,,,,,,
ABGP0001374,19988.1,36303.47,,,,,,,2202.5,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001375,,,,,,,,,,,,,,,,,,,
ABGP0001376,12360.13,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001377,15008.73,5406.67,,,,,,,222.77,,,,,,,,,,
ABGP0001378,,,,,,,,,,,,,,,,,,,
ABGP0001379,24999.25,24610.79,0.0,0.0,0.0,0.0,0.0,,767.73,,42004.32,39832.47,0.0,0.0,0.0,0.0,0.0,566.36,0.0
ABGP0001380,88286.66,,,,,,,,,,275454.37,275454.37,0.0,0.0,0.0,0.0,2831.79,1573.22,0.0
ABGP0001381,28251.73,27192.29,,,,,94.39,,528.6,,23731.45,22248.24,2831.79,0.0,0.0,0.0,0.0,528.6,0.0
ABGP0001382,882.87,,,,,,,,,,,,,,,,,,
ABGP0001383,32666.06,,,,,,,,,,49440.53,47674.79,0.0,0.0,0.0,0.0,0.0,943.93,0.0
ABGP0001384,,,,,,,,,,,,,,,,,,,
ABGP0001385,,,,,,,,,,,,,,,,,,,
ABGP0001386,60034.93,49440.53,5.66,0.0,34.61,6.29,0.0,,1447.36,,49440.53,49440.53,7551.44,0.0,1573.22,0.0,0.0,2202.5,0.0
ABGP0001387,39446.48,37080.4,0.0,0.0,344.85,420.36,527.97,,0.0,,17657.33,17657.33,0.0,0.0,629.29,0.0,0.0,377.57,0.0
ABGP0001389,550.91,,,,,,,,,,,,,,,,,,
ABGP0001390,2648.6,,,,,,,,,,,,,,,,,,
ABGP0001391,19952.78,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001392,69216.74,62524.61,37.13,0.0,1379.4,932.6,1368.7,,2712.86,,79987.71,79987.71,0.0,62.93,1573.22,503.43,1006.86,2643.01,0.0
ABGP0001393,,,,,,,,,,,,,,,,,,,
ABGP0001394,40965.01,38821.41,0.0,0.0,0.0,0.0,454.35,,1007.49,,40965.01,,0.0,0.0,0.0,0.0,0.0,629.29,0.0
ABGP0001396,15008.73,14549.64,,,,,,,169.91,,,,,,,,,,
ABGP0001397,15008.73,14832.16,,,,,39.02,,,,12006.99,12006.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001398,,,,,,,,,,,,,,,,,,,
ABGP0001399,12042.3,10982.86,0.0,0.0,0.0,0.0,0.0,,254.23,,,,,,,,,,
ABGP0001400,,,,,,,,,,,,,,,,,,,
ABGP0001401,1483.22,706.29,0.0,0.0,0.0,0.0,0.63,,0.0,,6215.38,6215.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001402,43083.89,40823.75,,,,,,,1045.25,,42377.59,0.0,6292.87,0.0,0.0,0.0,0.0,1887.86,0.0
ABGP0001403,15891.6,,,,,,,,,,6356.64,6356.64,62.93,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001404,28357.67,27933.9,0.0,0.0,0.0,0.0,0.0,,402.74,,21188.8,20305.93,314.64,251.71,0.0,0.0,0.0,0.0,0.0
ABGP0001405,5964.65,,,,,,,,,,,,,,,,,,
ABGP0001406,1977.62,,,,,,,,,,,,,,,,,,
ABGP0001407,3884.61,,,,,,,,,,6003.49,5932.86,0.0,0.0,0.0,0.0,0.0,182.49,0.0
ABGP0001408,25073.41,,,,,,,,,,,,,,,,,,
ABGP0001409,,,,,,,,,,,,,,,,,,,
ABGP0001410,176.57,,,,,,,,,,,,,,,,,,
ABGP0001411,16739.15,,,,,,,,,,5297.2,5297.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001412,13843.35,13476.08,0.0,0.0,0.0,0.0,0.0,,137.18,,5650.35,5155.94,0.0,0.0,0.0,0.0,0.0,8.5,0.0
ABGP0001413,2966.43,,,,,,,,,,3001.75,2825.17,283.18,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001414,39905.57,,,,,,,,,,39999.86,37505.58,0.0,0.0,0.0,0.0,251.71,0.0,0.0
ABGP0001415,1589.16,,,,,,,,,,,,,,,,,,
ABGP0001416,501.47,,,,,,,,,,,,,,,,,,
ABGP0001417,143024.38,140340.47,0.0,0.0,0.0,0.0,1930.65,,2446.67,,105943.99,96726.86,0.0,0.0,0.0,0.0,0.0,2454.22,1.54
ABGP0001418,13490.2,12812.16,0.0,0.0,0.0,0.0,0.0,,283.18,,7062.93,6356.64,0.0,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001419,12006.99,6709.79,0.0,0.0,0.0,0.0,12.59,,0.0,,14125.86,14125.86,0.0,0.0,0.0,0.0,0.0,6.29,0.0
ABGP0001420,,,,,,,,,,,,,,,,,,,
ABGP0001421,11444.42,,,,,,,,,,,,,,,,,,
ABGP0001422,8828.67,,,,,,,,,,,,,,,,,,
ABGP0001423,1059.44,706.29,0.0,0.0,0.0,0.0,0.0,,62.93,,882.87,706.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001424,2472.03,,,,,,,,,,3531.47,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001425,635.66,600.35,0.0,0.0,0.0,0.0,0.0,,39.65,,1130.07,1130.07,251.71,0.0,0.0,0.0,0.0,12.59,0.0
ABGP0001426,6992.3,6427.27,0.0,0.0,0.0,0.0,0.0,,339.81,,7557.34,7557.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001427,145425.78,141813.09,,,,,745.71,,,,145425.78,141813.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001428,2189.51,,,,,,,,,,,,,,,,,,
ABGP0001429,12360.13,5904.61,143478.69,0.0,0.0,0.0,0.0,,17.62,,29840.89,29099.28,0.0,0.0,0.0,0.0,0.0,251.71,0.0
ABGP0001430,1999.87,,,,,,,,,,,,,,,,,,
ABGP0001431,,,,,,,,,,,,,,,,,,,
ABGP0001432,1999.87,,,,,,,,,,,,,,,,,,
ABGP0001433,39976.2,37327.6,,,,,121.45,,629.29,,4944.05,4944.05,471.97,0.0,0.0,0.0,0.0,6.29,0.0
ABGP0001434,64671.74,64671.74,0.0,0.0,0.0,0.0,281.92,,207.66,0.0,61447.51,0.0,0.0,0.0,0.0,0.0,0.0,629.29,0.0
ABGP0001435,423.78,,,,,,,,,,,,,,,,,,
ABGP0001436,11441.95,,,,,,,,,,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001437,47745.42,46438.78,0.0,0.0,0.0,0.0,764.58,,915.61,,42377.59,42377.59,0.0,0.0,0.0,0.0,0.0,1573.22,0.0
ABGP0001438,2825.17,2630.94,,,,,18.88,,,,3531.47,3531.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001439,12006.99,11982.26,0.0,0.0,0.0,0.0,0.0,,166.13,0.0,11999.92,11999.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001440,7062.93,,,,,,,,,,5297.2,0.0,0.0,0.0,0.0,0.0,0.0,493.99,0.0
ABGP0001441,6003.49,5473.77,,,,,,,,,4414.33,4414.33,9439.31,,,,,,
ABGP0001442,,,,,,,,,,,,,,,,,,,
ABGP0001443,21082.85,,,,,,,,,,7062.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001444,21799.74,,,,,,,,,,15891.6,15891.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001445,24013.97,15008.73,0.0,0.0,0.0,0.0,94.39,,314.64,,4237.76,3178.32,0.0,0.0,0.0,0.0,157.32,377.57,0.0
ABGP0001446,,,,,,,,,,,,,,,,,,,
ABGP0001447,1518.53,,,,,,,,,,,,,,,,,,
ABGP0001448,,,,,,,,,,,,,,,,,,,
ABGP0001449,3955.24,,,,,,,,,,,,,,,,,,
ABGP0001450,3884.61,,,,,,,,,,,,,,,,,,
ABGP0001451,3354.89,2683.91,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7981.11,7981.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001452,2118.88,,,,,,,,,,,,,,,,,,
ABGP0001453,1257.2,,,,,,,,,,,,,,,,,,
ABGP0001454,4944.05,,,,,,,,,,3143.0,2118.88,75.51,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001455,3990.56,,,,,,,,,,,,,,,,,,
ABGP0001456,19917.47,19705.58,1.26,0.0,45.31,0.0,0.0,,446.79,,14999.9,14999.9,0.0,0.0,0.0,0.0,0.0,163.61,0.0
ABGP0001457,6921.67,,,,,,,,,,4001.15,4001.15,0.0,0.0,0.0,0.0,0.0,6.29,0.0
