id,raw_gas_mcf/d,sales_gas_mcf/d,ethane__c2_bbl/d,propane__c3_bbl/d,butane__c4_bbl/d,pentane_plus__c5+_bbl/d,natural_gas_liquids_bbl/d,sulphur_ton/d,sub_type,location,injection_mcf/d,shrinkage_mcf/d,fuel_mcf/d,flared_mcf/d,other_mcf/d
ABGP0001033,6055.78,5577.67,0.0,0.0,0.0,0.0,142.56,0.0,Gas Plant Sweet,13-13-035-26W4M,0.0,188.42,96.03,0.0,0.0
ABGP0001034,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,08-17-060-15W5M,0.0,0.0,0.59,0.0,0.0
ABGP0001035,,,,,,,,,Gas Plant Sweet,04-02-053-26W4M,,,,,
ABGP0001036,10717.77,9617.66,0.0,0.0,0.0,97.74,309.49,0.0,Gas Plant Sweet,08-19-036-05W4M,0.0,436.99,565.83,2.39,0.0
ABGP0001037,81015.37,59620.72,0.0,958.34,758.49,0.0,0.0,412.48,Gas Plant Sulphur Recovery,13-13-025-05W5M,0.0,17651.18,3658.14,880.82,0.0
ABGP0001038,5761.07,5742.85,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,08-36-020-16W4M,0.0,0.46,41.69,0.0,0.0
ABGP0001039,2027.75,1738.39,0.0,0.0,0.0,0.0,12.22,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,11-35-013-17W4M,0.0,15.95,96.83,0.0,0.0
ABGP0001040,3391.12,1387.41,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,04-27-020-29W4M,0.0,1600.67,1088.94,0.0,0.0
ABGP0001041,112.67,112.67,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,03-06-024-10W4M,0.0,0.0,0.0,0.0,0.0
ABGP0001042,62058.23,55740.89,0.0,0.0,0.0,0.0,2897.26,0.0,Gas Plant Sweet,10-10-065-02W6M,0.0,4225.11,3155.42,52.4,0.0
ABGP0001043,16592.08,15090.41,28.89,586.82,742.17,0.0,0.0,0.0,Gas Plant Sweet,13-36-024-21W4M,0.0,1073.22,1246.95,4.67,0.0
ABGP0001044,2393.54,2246.01,0.0,0.0,0.0,19.93,51.85,0.0,Gas Plant Sweet,12-04-028-20W4M,0.0,68.35,38.73,0.8,0.0
ABGP0001045,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,04-17-047-27W4M,0.0,0.0,0.0,0.57,0.0
ABGP0001046,3234.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,01-28-049-10W5M,0.0,214.17,185.12,35.43,2800.11
ABGP0001047,144.68,138.07,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,10-05-046-06W5M,0.0,0.0,5.35,0.0,0.0
ABGP0001048,1562.05,1241.82,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-18-001-08W4M,0.0,0.0,196.96,29.16,0.0
ABGP0001049,15578.66,14660.83,0.0,0.0,0.0,112.07,272.03,0.0,Gas Plant Sweet,05-17-027-19W4M,0.0,354.06,398.49,2.28,0.0
ABGP0001050,16339.85,16305.39,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,10-02-026-29W4M,0.0,0.0,34.46,0.0,0.0
ABGP0001051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.91,Gas Plant Sulphur Recovery,01-11-008-05W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001052,1649.76,1705.24,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,07-23-033-16W4M,0.0,0.0,82.14,0.0,0.0
ABGP0001053,,,,,,,,,Gas Plant Sweet,05-06-028-02W4M,,,,,
ABGP0001054,43936.57,36227.83,0.0,0.0,0.0,0.0,0.0,115.08,Gas Plant Sulphur Recovery,06-16-026-05W5M,0.0,5281.02,2573.53,17.43,1.48
ABGP0001055,348.13,335.72,0.0,0.0,0.0,0.0,15.37,0.0,Gas Plant Sweet,10-30-052-17W5M,0.0,15.49,0.0,0.0,0.0
ABGP0001056,123292.03,90960.43,0.0,427.67,559.35,0.0,0.0,726.22,Gas Plant Sulphur Recovery,02-20-004-30W4M,0.0,27027.91,5126.66,1753.77,0.0
ABGP0001057,6988.54,6261.63,0.0,0.0,0.0,48.98,202.81,0.0,Gas Plant Sweet,09-17-050-07W5M,0.0,308.26,342.1,5.58,0.0
ABGP0001058,77074.48,72804.94,0.0,0.0,0.0,0.0,1141.67,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,08-09-064-19W5M,15.95,2797.38,1513.75,262.58,0.0
