GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes),HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G10045,2022,Cancarb Ltd.,1702 Brier Park Crescent Northwest,Medicine Hat,Alberta,T1C 1T9,50.0582,-110.7282,177395.71,14.3262,401.1336,1.4705,389.6825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.000152,3.572,178190.0981
G10049,2022,Caribou North Comp Stn 11-08,0,Bonnyville,Alberta,T9N 2H4,55.0473,-110.5778,25634.92374,113.79633,3186.29724,6.345,1681.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,30502.64598
G10053,2022,Carseland Nitrogen Operations,265009 221 Township Road,Wheatland County,Alberta,,50.84620698,-113.5872876,461705.8841,463.82743,12987.16804,6.89896,1828.2244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,476521.2765
G10054,2022,Carseland Power Plant,,CARSELAND,Alberta,T0J 0M0,50.90123,-113.39283,356086.8184,29.6035,828.898,8.29,2196.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,359112.5664
G10055,2022,Orica Carseland,264077 221 TWP RD,CARSELAND,Alberta,T0J 0M0,50.8467,-113.58117,744.5941,0.0372,1.0416,133.1014,35271.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,36017.5067
G10058,2022,Cavalier Energy Centre,0,Strathmore,Alberta,T1P 1K3,51.0056,-113.1716,313675.9739,32.9665,923.062,7.9731,2112.8715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,316711.9074
G10065,2022,Christina Lake SAGD Bitumen Battery,0,Lac La Biche,Alberta,T0P 1J0,55.5827,-110.8888,3857996.64,321.80639,9010.57892,35.56774,9425.4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3876432.67
G10068,2022,Electric Utility - Generation,1502 Powerhouse Road,Medicine Hat,Alberta,T1A 8E6,50.04092,-110.7219,574050.8704,195.178829,5465.007212,14.4846,3838.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,583354.2966
G10069,2022,Clover Bar Energy Centre,1515 130th Avenue,Edmonton,Alberta,T6S 1E3,53.5874,-113.3647,336325.8275,34.1871,957.2388,6.6871,1772.0815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,339055.1478
G10071,2022,Cochrane Extraction Plant,262145 Range Road 43,Cochrane,Alberta,T4C 1A4,51.2225,-114.4956,524497.4622,213.47888,5977.40864,12.19942,3232.8463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533707.7172
G10073,2022,Cold Lake,,GRANDE CENTRE,Alberta,T0A 1T0,54.59702,-110.39972,5816538.841,347.1949,9721.4572,109.5353,29026.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5855287.153
G10086,2022,ATCO Gas - Distribution System,10035 105 Street Northwest,Edmonton,Alberta,T5J 2V6,53.54,-113.5,56329.5557,3912.5864,109552.4192,1.4308,379.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,166261.1369
G10095,2022,East Calgary Landfill,3801 68 Street Southeast,Calgary,Alberta,T2B 4R8,51.0265,-113.9419,936.0,1381.7033,38687.6924,0.2607,69.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39692.7779
