GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes),HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G11000,2021,Mitsue Sour GP 10-30-72-4W5,,Slave Lake,Alberta,T0G 2A0,55.2656,-114.6014,34035.9703,103.861171,2908.112788,0.803384,212.89676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,37156.97984
G11001,2021,Scots Lake 13-7-16-11W4,,BROOKS,Alberta,T0J 3K0,50.33715,-111.51391,13384.21608,36.427259,1019.963252,0.298628,79.13642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,14483.31575
G11002,2021,Acheson Sour Gas Plant 05-02-053-26W4,,,Alberta,,53.54661,-113.73518,6049.0786,45.6179,1277.3012,0.1162,30.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7357.1728
G11003,2021,Slave Lake Sour Gas Plant 09-15,,,Alberta,,56.2848,-116.1117,32242.6371,100.2068,2805.7904,1.2416,329.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,35377.4515
G11004,2021,Pembalta #7 Sour Gas Plant 04-34,,,Alberta,,53.0904,-115.245,9350.875777,77.846921,2179.713788,0.748607,198.380855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11728.97042
G11005,2021,Willesden Green Sweet Gas Plant 14-01,,,Alberta,,52.5941,-114.8793,17044.12768,123.601306,3460.836568,0.422329,111.917185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,20616.88144
G11010,2021,Hussar Gas Plant 13-36-024-21W4,,Hussar,Alberta,,51.0934,-112.8201,24904.99,187.86,5260.08,2.11,559.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,30724.22
G11011,2021,Obed 01-21,,OBED,Alberta,A9A 9A9,53.7611,-117.3492,11013.55087,38.580137,1080.243836,0.278332,73.75798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12167.55269
G11012,2021,LRE - Edson Gas Plant 01-13,,Edson,Alberta,,53.6598,-116.6505,14760.992,40.821,1142.988,0.193,51.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15955.125
G11015,2021,THE CALGARY AIRPORT AUTHORITY - CALGARY,2000 Airport Road,Calgary,Alberta,T2E 6W5,51.1307,-114.009,13207.65,1.17,32.76,0.02,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,13245.71
G11016,2021,3 CDSG/BS 3 DIV Edmonton,177  Rhine Rd Road,EDMONTON,Alberta,T5J 4J5,53.6595,-113.4783,17639.4494,0.3385,9.478,0.3202,84.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,17733.7804
G11017,2021,Leduc 02/10-22,,Leduc,Alberta,,53.3307,-113.7194,10070.9427,39.614,1109.192,0.2471,65.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11245.6162
G11022,2021,Lator #1 01-21-063-02W6,,Calgary,Alberta,,54.4394,-118.2504,24864.7,229.3,6420.4,8.6,2279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,33564.1
G11029,2021,Bantry Sour Gas Plant & Power Plant,,TILLEY,Alberta,T0J 3K0,50.4715,-111.6065,26505.97853,181.9569,5094.7932,7.54873,2000.41345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,33601.18518
G11030,2021,Edmonton Ethane Extraction Plant,,EDMONTON,Alberta,T6N 1A5,53.4542,-113.5038,7926.06224,157.58553,4412.39484,0.14552,38.5628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12377.01988
G11037,2021,Willesden Green Comp Stn 08-04,1500 308 4 Avenue Southwest,Calgary,Alberta,T2P 0H7,52.7649,-114.9575,11416.04218,107.36777,3006.29756,2.59106,686.6309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15108.97064
G11040,2021,Fort McMurray WWTP,820 Memorial Drive,Fort McMurray,Alberta,T9K 0N9,56.7649,-111.4125,72.194824,397.184255,11121.15914,0.027781,7.361965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11200.71593
G11045,2021,Steen River Gas Plant,,Steen River,Alberta,,59.59915,-117.39646,3564.43,35.922,1005.816,5.64,1494.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6064.846
G11047,2021,Alberta Capital Region Wastewater Commission Treatment Plant,23262 Township Road 540 Road,Fort Saskatchewan,Alberta,T8L 4A2,53.6288,-113.3077,7113.439,359.7746,10073.6888,1.218896,323.00744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,17510.13524
G11056,2021,Innisfail Plant,5301 42 Avenue,Innisfail,Alberta,T4G 1A2,52.0317,-113.9355,22301.98702,0.479985,13.43958,0.342853,90.856045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,22406.28265
G11057,2021,Waste Management Facility,1709 40th Avenue,Red Deer,Alberta,T4R 3G6,52.2232,-113.7823,365.07,1708.95,47850.6,0.14,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,48252.77
G11068,2021,Lethbridge,2415 2nd Avenue,Lethbridge,Alberta,T1J 3Y4,49.7019,-112.8175,32754.33,0.6334,17.7352,0.5917,156.8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,32928.8657
G11069,2021,Red Deer Regional Hospital Centre,3942 50 A Avenue,Red Deer,Alberta,T4N 4E7,52.2605,-113.8166,15038.658,0.29,8.12,0.21,55.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15102.428
G11074,2021,Hexion Canada Inc.- Edmonton Facility,12621 156th Street,Edmonton,Alberta,T5V 1E1,53.5823,-113.5886,16632.331,0.1675,4.69,0.1085,28.7525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381,49.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.53,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16715.3035
G11079,2021,Cargill High River Plant,472 2A Highway Highway,High River,Alberta,T1V 1P4,50.5837,-113.8711,40684.37,748.4511,20956.6308,4.317893,1144.241645,0.0,0.0,0.009,6.093,0.0,0.0,0.0,0.0,0.01098,34.8066,0.0,0.0,0.00168,2.184,0.0,0.0,0.00234,11.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3156,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,62839.55805
G11091,2021,Valhalla 03-27-075-09W6 BTY,,Valhalla,Alberta,,55.5203,-119.3153,11427.32241,181.57404,5084.07312,0.96175,254.86375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16766.25928
G11100,2021,Trilogy Presley 03-29-059-19,,,Alberta,,54.1251,-116.8167,14843.35993,145.05039,4061.41092,6.78913,1799.11945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,20703.8903
G11107,2021,Beiseker Compressor Station 04-15,,Beiseker,Alberta,,51.3881,-110.7725,10545.9173,181.7784,5089.7952,1.0944,290.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15925.7285
G11108,2021,Joffre Compressor Station 04-22,,Joffre,Alberta,,52.3629,-113.5349,7914.597,106.0172,2968.4816,3.1795,842.5675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11725.6461
G11111,2021,McCain Foods Coaldale FF plant,,COALDALE,Alberta,T1M 1N3,49.75997,-112.4527,27178.0,0.69,19.32,0.46,121.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,27319.22
G11112,2021,Ferrier Comp Stn 09-03,1500 308 4 Avenue Southwest,Calgary,Alberta,T2P 0H7,51.049,-114.08,38636.83578,188.33521,5273.38588,9.61301,2547.44765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46457.66931
G11114,2021,Portable Plant 020008,,Parker Pit,Alberta,,52.62361,-115.37638,4944.408573,0.143809,4.026652,0.302384,80.13176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5028.566985
G11121,2021,Spray Lake Sawmills (1980) Ltd.,305 Griffin Road,Cochrane,Alberta,T4C 2C4,51.1778,-114.4593,10727.82854,4.358729,122.044412,45.63061,12092.11165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,22941.9846
G11127,2021,4 WG/ 4 Esc Cold Lake,1 Skyline Road,Cold Lake,Alberta,T9M 2C6,54.4077,-110.2778,18238.3041,0.4529,12.6812,0.746,197.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18448.6753
G11130,2021,Swan Hills Treatment Center,10000 Chrystina Lake Road,Swan Hills,Alberta,T0G 2C0,54.775,-115.2186,26740.5,17.043,477.204,31.2,8268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,35485.704
G11131,2021,Channel Lake 12-29,,,Alberta,,50.2027,-110.6613,12006.2489,179.6239,5029.4692,1.8812,498.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,17534.2361
G11139,2021,Galloway Gas Plant 12-05-054-20W5,,Edson,Alberta,,53.6359,-116.9318,4150.50115,765.97258,21447.23224,0.07166,18.9899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,25616.72329
G11143,2021,Rowley Gas Plant 04-09-031-20W4,,Morrin,Alberta,,51.6354,-112.7926,8994.63879,39.74123,1112.75444,0.26941,71.39365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10178.78688
G11144,2021,Stolberg Dehy 02-03-041-14W5,,Nordegg,Alberta,,52.4936,-115.935,14700.5282,117.8069,3298.5932,1.2179,322.7435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18321.8649
G11153,2021,G/BS 3 DIV Edmonton Garrison Suffield,393 Highway #884,Ralston,Alberta,T1A 8K8,50.4436,-110.8825,14953.2321,0.2916,8.1648,0.2868,76.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15037.3989
G11155,2021,LRE - Donnelly Gas Plant 06-01,,,Alberta,,55.6405,-117.1193,8892.239,85.63,2397.64,0.215,56.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11346.854
G11161,2021,Foothills Medical Centre,1403 29th Street Northwest,Calgary,Alberta,T2N 2T9,51.0651,-114.1305,63249.22,1.21,33.88,2.907,770.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,64053.455
G11164,2021,Waterton Complex - Compressor Station W,,PINCHER CREEK,Alberta,T0K 1W0,49.4889,-113.9551,21211.9292,296.3535,8297.898,5.2983,1404.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,30913.8767
G11166,2021,Lindbergh Custom Treating Facility,,BONNYVILLE,Alberta,T9N 2H4,53.74564,-110.7513,13163.19067,25.4449,712.4572,0.23309,61.76885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,13937.41672
G11168,2021,Niton Sweet Gas Plant,,Niton,Alberta,,53.6705,-115.7622,9395.98034,46.52984,1302.83552,2.08159,551.62135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11250.43721
G11169,2021,Lindbergh Facility,56415  Range Road 51A Highway,LINDBERGH,Alberta,T0A 1A0,53.8627,-110.639,19774.06,0.38426,10.75928,0.33884,89.7926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,19874.61188
G11174,2021,BUNGE CANADA - FORT SASKATCHEWAN PLANT,55035 Secondary Highway 825,Sturgeon County,Alberta,T8L 5G3,53.7275,-113.2414,13965.5,0.26338,7.37464,0.23324,61.8086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,14034.68324
G11177,2021,NAL Sturgeon Lake Gas Plant 13-07-069-24-W5,,Sturgeon Lake,Alberta,,54.96489,-117.65893,12187.7319,175.52621,4914.73388,1.37434,364.2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,17466.66588
G11178,2021,Tilley Main Gas Battery 08-16,,,Alberta,,50.4312,-111.5892,10162.28129,97.47575,2729.321,2.12249,562.45985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,13454.06214
G11179,2021,JCWP 7-6,,Swan Hills,Alberta,,54.5037,-115.4878,27250.80532,2.51849,70.51772,0.6737,178.5305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,27499.85354
G11180,2021,Westerose Comp Stn 11-09,,na,Alberta,,52.7776,-114.2343,19534.0672,159.9241,4477.8748,2.5218,668.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,24680.219
G11182,2021,Redwater Sour Gas Plant 01-29,,Redwater,Alberta,,53.9527,-113.078,11531.76617,11.29314,316.20792,1.42392,377.3388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12225.31289
