id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude,sub_type,location
ABGP0001891,Abandoned,Rozsa Keho,GP,Keho,Houston Oil & Gas Ltd.,100.0% - Houston Oil & Gas Ltd.,1995-01-01,50.00374,-112.87261,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,16-13-012-22W4M
ABGP0001892,Active,Aec Saddle Hills,GP,Sexsmith,Ovintiv Canada Ulc,100.0% - Ovintiv Canada Ulc,1995-01-01,55.4792,-119.059,Gas Plant Sulphur Recovery,04-08-075-07W6M
ABGP0001893,Abandoned,Summit Mirage,GP,Summit Mirage,Tourmaline Oil Corp.,100.0% - Tourmaline Oil Corp.,,55.8557,-119.07,Gas Plant Sulphur Recovery,04-20-079-07W6M
ABGP0001894,Abandoned,Nce Petrofund  Provost,GP,Monitor Creek West,Obsidian Energy Ltd.,100.0% - Obsidian Energy Ltd.,1996-01-01,51.79386,-110.81001,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,16-32-032-06W4M
ABGP0001895,Active,Fourth Creek Gas Plant,GP,Fourth Creek,Northriver Midstream,100.0% - Northriver Midstream Inc.,1991-01-01,56.09959,-119.2854,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,16-11-082-09W6M
ABGP0001896,Abandoned,Chevron Medicine Lodge,GP,Chevron Medicine Lodge,Vermilion Energy Inc.,100.0% - Vermilion Energy Inc.,,53.47759,-117.02699,Gas Plant Sweet,09-09-052-21W5M
ABGP0001897,Active,Goodfish 3-32-91-8W5,GP,Goodfish,Canadian Natural Resources Limited,30.0% - Baytex Energy Ltd.; 70.0% - Canadian Natural Resources Limited,1996-01-01,56.93078,-115.25214,Gas Plant Acid Gas Injection,03-32-091-08W5M
ABGP0001898,Suspended,Husky Goodlow 2-33,GP,Muskwa,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,,56.23478,-113.88621,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,02-33-083-25W4M
ABGP0001899,Abandoned,Tarragon Hector,GP,Badger,Cenovus Energy Inc.,100.0% - Canadian Natural Resources Limited,,50.3983,-112.30802,Gas Plant Acid Gas Injection,03-05-017-17W4M
ABGP0001901,Active,Empress 6 Gas And Frac Plant,GP,Empress Straddle Plant,Plains Midstream Canada Ulc,100.0% - Plains Midstream Canada Ulc,1962-01-01,50.68289,-110.03685,Gas Plant Mainline Straddle,10-11-020-01W4M
